Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-12-16,2000.0,2000.0,2000.0,"2.000,00","-2,44",10.0,20.000,20.000,2000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-01-17,1800.0,1800.0,1800.0,"1.800,00","-10,00",50.0,90.000,90.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-01-21,1800.0,1800.0,1800.0,"1.800,00","0,00",167.0,300.600,300.600,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-01-22,1800.0,1800.0,1800.0,"1.800,00","0,00",45.0,81.000,81.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-02-04,1800.0,1800.0,1800.0,"1.800,00","0,00",10.0,18.000,18.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-06-10,1800.0,1800.0,1800.0,"1.800,00","0,00",19.0,34.200,4.618.800,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-07-09,1800.0,1800.0,1800.0,"1.800,00","0,00",1.402,2.523.600,2.523.600,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-07-14,1800.0,1800.0,1800.0,"1.800,00","0,00",5.0,9.000,9.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-07-21,1800.0,1800.0,1800.0,"1.800,00","0,00",962.0,1.731.600,1.731.600,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-07-27,1800.0,1800.0,1800.0,"1.800,00","0,00",913.0,1.643.400,1.643.400,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-07-28,1800.0,1800.0,1800.0,"1.800,00","0,00",2.5,4.500.000,4.500.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2020-08-10,1800.0,1800.0,1800.0,"1.800,00","0,00",2.5,4.500.000,4.500.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
