Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-05-12,201.0,201.0,201.0,"201,00","0,00",24.0,4.824,4.824,201.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-06,600.0,600.0,600.0,"600,00","198,51",46.0,27.6,27.6,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-12,600.0,600.0,600.0,"600,00","0,00",85.0,51.0,51.0,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-31,600.0,600.0,600.0,"600,00","0,00",144.0,86.4,86.4,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-07-09,608.0,608.0,608.0,"608,00","1,33",144.0,87.552,87.552,608.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-07-13,608.0,608.0,608.0,"608,00","0,00",43.0,26.144,26.144,608.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-21,590.0,590.0,590.0,"590,00","-2,96",40.0,23.6,23.6,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-22,590.0,590.0,590.0,"590,00","0,00",69.0,40.71,40.71,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-23,590.0,590.0,590.0,"590,00","0,00",38.0,22.42,22.42,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-24,590.0,590.0,590.0,"590,00","0,00",85.0,50.15,50.15,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-27,590.0,590.0,590.0,"590,00","0,00",74.0,43.66,43.66,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-29,590.0,590.0,590.0,"590,00","0,00",61.0,35.99,35.99,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-31,590.0,590.0,590.0,"590,00","0,00",108.0,63.72,63.72,590.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-03,590.0,590.0,590.0,"590,00","0,00",200.0,118.0,118.0,590.0,94.00703593990482,SELL,95.57739557739558,,SELL,-4.422604422604422,SELL,,HOLD,82.99123616236162,SELL,566.9285714285714,531.7225285576463,589.0380952380953,BUY,BUY,BUY
2018-09-04,590.0,590.0,590.0,"590,00","0,00",208.0,122.72,122.72,590.0,94.00703593990482,SELL,0.0,,BUY,-100.0,BUY,,HOLD,82.99123616236162,SELL,594.7142857142857,539.4928580832935,592.1142857142858,SELL,BUY,SELL
2018-09-05,590.0,590.0,590.0,"590,00","0,00",68.0,40.12,40.12,590.0,94.00703593990482,SELL,0.0,31.85913185913186,BUY,-100.0,BUY,,HOLD,78.76781344465238,HOLD,594.0,546.2271436721877,591.4857142857143,SELL,BUY,SELL
2018-09-06,590.0,590.0,590.0,"590,00","0,00",20.0,11.8,11.8,590.0,94.00703593990482,SELL,0.0,0.0,BUY,-100.0,BUY,,HOLD,78.76781344465238,HOLD,593.2857142857143,552.063524515896,590.952380952381,SELL,BUY,SELL
2018-09-10,607.0,607.0,607.0,"607,00","2,88",1.036,628.852,628.852,607.0,94.68658850698466,SELL,94.44444444444444,31.48148148148148,SELL,-5.555555555555555,SELL,,HOLD,78.88726058377154,HOLD,593.7857142857143,559.3883879137766,592.7809523809524,BUY,BUY,BUY
2018-10-16,607.0,607.0,607.0,"607,00","0,00",28.0,16.996,16.996,607.0,94.68658850698466,SELL,94.44444444444444,62.96296296296296,SELL,-5.555555555555555,SELL,,HOLD,2.5954675855050766,BUY,593.7142857142857,565.7366028586064,594.5428571428572,BUY,BUY,BUY
2018-12-10,607.0,607.0,607.0,"607,00","0,00",85.0,51.595,51.595,607.0,94.68658850698466,SELL,100.0,96.2962962962963,SELL,-0.0,SELL,54.34203516249335,HOLD,2.5954675855050766,BUY,593.6428571428571,571.2383891441256,596.3142857142857,BUY,BUY,BUY
2019-05-10,607.0,607.0,607.0,"607,00","0,00",39.0,23.673,23.673,607.0,94.68658850698466,SELL,100.0,98.14814814814815,SELL,-0.0,SELL,93.17051108095838,HOLD,100.0,SELL,594.8571428571429,576.0066039249089,598.0952380952381,BUY,BUY,BUY
2019-09-16,607.0,607.0,607.0,"607,00","0,00",67.0,40.669,40.669,607.0,94.68658850698466,SELL,100.0,100.0,SELL,-0.0,SELL,85.53621319578811,HOLD,100.0,SELL,596.0714285714286,580.139056734921,599.7142857142858,BUY,BUY,BUY
2019-10-22,607.0,607.0,607.0,"607,00","0,00",19.0,11.533,11.533,607.0,94.68658850698466,SELL,100.0,100.0,SELL,-0.0,SELL,78.62407862407885,HOLD,100.0,SELL,597.2857142857143,583.7205158369316,601.1714285714286,BUY,BUY,BUY
2021-01-08,607.0,607.0,607.0,"607,00","0,00",85.0,51.595,51.595,607.0,94.68658850698466,SELL,100.0,100.0,SELL,-0.0,SELL,72.33626588465299,HOLD,100.0,SELL,598.5,586.8244470586741,602.4666666666667,BUY,BUY,BUY
