Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-12-19,6600.0,6600.0,6600.0,"6.600,00","-2,94",1.0,6.600,6.600,6600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-28,6100.0,6100.0,6100.0,"6.100,00","-7,58",1.0,6.100,6.100,6100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-11,4000.0,4000.0,4000.0,"4.000,00","-34,43",175.0,700.000,700.000,4000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-08,4101.0,4101.0,4101.0,"4.101,00","2,52",119.0,488.019,488.019,4101.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-02,6000.0,6000.0,6000.0,"6.000,00","46,31",100.0,600.000,600.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-07,6000.0,6000.0,6000.0,"6.000,00","0,00",240.0,1.440.000,1.440.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-13,6000.0,6000.0,6000.0,"6.000,00","0,00",100.0,600.000,600.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-05-05,6000.0,6000.0,6000.0,"6.000,00","0,00",1.0,6.000,6.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-05,6000.0,6000.0,6000.0,"6.000,00","0,00",150.0,900.000,900.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-16,6000.0,6000.0,6000.0,"6.000,00","0,00",10.0,60.000,60.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-12-06,6000.0,6000.0,6000.0,"6.000,00","0,00",35.0,210.000,210.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-12-22,6000.0,6000.0,6000.0,"6.000,00","0,00",25.0,150.000,150.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-01-25,6000.0,6000.0,6000.0,"6.000,00","0,00",30.0,180.000,180.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-13,6000.0,6000.0,6000.0,"6.000,00","0,00",20.0,120.000,120.000,6000.0,47.404073616091964,HOLD,76.92307692307692,,HOLD,-23.076923076923077,HOLD,,HOLD,60.643636235946445,HOLD,5771.5,5979.985604986263,5878.133333333333,BUY,BUY,BUY
2018-03-21,6000.0,6000.0,6000.0,"6.000,00","0,00",20.0,120.000,120.000,6000.0,47.404073616091964,HOLD,95.23809523809524,,SELL,-4.761904761904762,SELL,,HOLD,60.643636235946445,HOLD,5728.642857142857,5982.654190988094,5908.6,BUY,BUY,BUY
2018-04-12,6000.0,6000.0,6000.0,"6.000,00","0,00",30.0,180.000,180.000,6000.0,47.404073616091964,HOLD,100.0,90.72039072039071,SELL,-0.0,SELL,,HOLD,60.85052787470379,HOLD,5721.5,5984.9669655230155,5944.780952380953,BUY,BUY,BUY
2018-08-03,6000.0,6000.0,6000.0,"6.000,00","0,00",10.0,60.000,60.000,6000.0,47.404073616091964,HOLD,100.0,98.41269841269842,SELL,-0.0,SELL,,HOLD,100.0,SELL,5864.357142857143,5986.971370119947,5981.914285714286,BUY,BUY,BUY
2018-09-12,6000.0,6000.0,6000.0,"6.000,00","0,00",8.0,48.000,48.000,6000.0,47.404073616091964,HOLD,,,HOLD,,HOLD,,HOLD,100.0,SELL,6000.0,5988.708520770621,6000.0,HOLD,BUY,HOLD
2018-10-09,6000.0,6000.0,6000.0,"6.000,00","0,00",20.0,120.000,120.000,6000.0,47.404073616091964,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5990.214051334538,6000.0,HOLD,BUY,HOLD
2018-11-23,6000.0,6000.0,6000.0,"6.000,00","0,00",33.0,198.000,198.000,6000.0,47.40407361609197,HOLD,,,HOLD,,HOLD,29.793337244931198,HOLD,,HOLD,6000.0,5991.518844489933,6000.0,HOLD,BUY,HOLD
