Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-04-06,620.0,620.0,620.0,"620,00","0,00",129.0,79.98,79.98,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-03,620.0,620.0,620.0,"620,00","0,00",50.0,31.0,31.0,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-10-01,620.0,620.0,620.0,"620,00","0,00",161.0,99.82,99.82,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-10-10,1500.0,1500.0,1500.0,"1.500,00","141,94",224.0,336.0,336.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-10-25,1500.0,1500.0,1500.0,"1.500,00","0,00",484.0,726.0,726.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-10-29,1500.0,1500.0,1500.0,"1.500,00","0,00",55.0,82.5,82.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-10-31,1500.0,1500.0,1500.0,"1.500,00","0,00",194.0,291.0,291.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-05,1500.0,1500.0,1500.0,"1.500,00","0,00",183.0,274.5,274.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-06,1500.0,1500.0,1500.0,"1.500,00","0,00",73.0,109.5,109.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-22,1500.0,1500.0,1500.0,"1.500,00","0,00",449.0,673.5,673.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-25,1500.0,1500.0,1500.0,"1.500,00","0,00",224.0,336.0,336.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-02,1500.0,1500.0,1500.0,"1.500,00","0,00",150.0,225.0,225.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-10,1500.0,1500.0,1500.0,"1.500,00","0,00",182.0,273.0,273.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-13,1500.0,1500.0,1500.0,"1.500,00","0,00",4.0,6.0,6.0,1500.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,1311.4285714285713,1317.671021888644,1449.7142857142858,BUY,BUY,BUY
2019-12-17,1500.0,1500.0,1500.0,"1.500,00","0,00",62.0,93.0,93.0,1500.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL,1374.2857142857142,1341.9815523034915,1474.857142857143,BUY,BUY,BUY
2019-12-27,1500.0,1500.0,1500.0,"1.500,00","0,00",13.0,19.5,19.5,1500.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,1437.142857142857,1363.050678663026,1491.6190476190477,BUY,BUY,BUY
2020-02-05,1500.0,1500.0,1500.0,"1.500,00","0,00",190.0,285.0,285.0,1500.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,100.0,SELL,1500.0,1381.3105881746226,1500.0,HOLD,BUY,HOLD
2020-02-25,1500.0,1500.0,1500.0,"1.500,00","0,00",3.0,4.5,4.5,1500.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,1500.0,1397.1358430846728,1500.0,HOLD,BUY,HOLD
2020-03-09,1500.0,1500.0,1500.0,"1.500,00","0,00",116.0,174.0,174.0,1500.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,1500.0,1410.8510640067166,1500.0,HOLD,BUY,HOLD
2020-08-05,1500.0,1500.0,1500.0,"1.500,00","0,00",80.0,120.0,120.0,1500.0,100.0,SELL,,,HOLD,,HOLD,39.2156862745098,HOLD,,HOLD,1500.0,1422.7375888058211,1500.0,HOLD,BUY,HOLD
2021-03-22,4500.0,4500.0,4500.0,"4.500,00","200,00",16.0,72.0,72.0,4500.0,100.0,SELL,100.0,,SELL,-0.0,SELL,666.6666666666666,SELL,100.0,SELL,1714.2857142857142,1833.0392436317118,1900.0,BUY,BUY,BUY
2022-08-03,4500.0,4500.0,4500.0,"4.500,00","0,00",128.0,576.0,576.0,4500.0,100.0,SELL,100.0,,SELL,-0.0,SELL,333.33333333333337,SELL,100.0,SELL,1928.5714285714287,2188.6340111474838,2271.4285714285716,BUY,BUY,BUY
